candidate_id,rank,score,reasoning
CAND_0064326,1,0.9381,"Search Engineer, 7.6y; Python (expert, 60mo), 25 endorsements + Weaviate (expert, 51mo), 47 endorsements (+1 more relevant); product co. background (Sarvam AI). active ~29d ago, open to work, 94% recruiter response rate, India-based (Gurgaon), active GitHub (61/100)."
CAND_0011687,2,0.9136,"Senior NLP Engineer, 7.8y; OpenSearch (expert, 92mo), 31 endorsements + Weaviate (expert, 60mo), 29 endorsements (+1 more relevant); product co. background (Niramai). open to work, 15d notice (buyable), 89% recruiter response rate, active GitHub (76/100). concern: inactive 40d; India (Indore), no relocation — may not move to Pune/Noida."
CAND_0018499,3,0.9085,"Senior Machine Learning Engineer, 7.2y; Weaviate (expert, 88mo), 6 endorsements + Learning to Rank (expert, 70mo), 50 endorsements (+1 more relevant); Zomato (Food Delivery). open to work, 15d notice (buyable), India-based (Noida), active GitHub (95/100). concern: inactive 37d."
CAND_0077337,4,0.9082,"Staff Machine Learning Engineer, 7.0y; Python (expert, 82mo), 34 endorsements + RAG (expert, 77mo), 43 endorsements (+1 more relevant); product co. background (Razorpay). active ~24d ago, open to work, 95% recruiter response rate, India-based (Kochi), willing to relocate, active GitHub (68/100)."
CAND_0002025,5,0.8997,"Senior AI Engineer, 5.9y; FAISS (expert, 86mo), 47 endorsements + Python (expert, 54mo), 30 endorsements (+1 more relevant); product co. background (Aganitha). active ~24d ago, open to work, 30d notice (buyable), 80% recruiter response rate, active GitHub (97/100). concern: India (Trivandrum), no relocation — may not move to Pune/Noida."
CAND_0081846,6,0.8989,"Lead AI Engineer, 6.7y; Vector Search (expert, 79mo), 53 endorsements + Python (expert, 75mo), 16 endorsements (+1 more relevant); product co. background (Razorpay). open to work, 30d notice (buyable), India-based (Jaipur), willing to relocate. concern: inactive 47d."
CAND_0043860,7,0.8942,"Junior ML Engineer, 6.1y; Information Retrieval (advanced, 30mo), 30 endorsements + Semantic Search (advanced, 44mo), 49 endorsements (+1 more relevant); product co. background (Aganitha). active ~24d ago, open to work, 30d notice (buyable), 81% recruiter response rate, India-based (Bhubaneswar), willing to relocate."
CAND_0068932,8,0.8914,"ML Engineer, 5.2y; OpenSearch (advanced, 44mo), 40 endorsements + RAG (advanced, 28mo), 17 endorsements (+1 more relevant); product co. background (Krutrim). active ~24d ago, open to work, 30d notice (buyable), 82% recruiter response rate, India-based (Noida), active GitHub (70/100)."
CAND_0068811,9,0.887,"Applied ML Engineer, 8.0y; Pinecone (expert, 86mo), 49 endorsements + Qdrant (expert, 70mo), 41 endorsements (+1 more relevant); product co. background (Yellow.ai). active ~29d ago, open to work, 30d notice (buyable), India-based (Pune)."
CAND_0050454,10,0.8855,"AI Engineer, 6.8y; FAISS (expert, 62mo), 33 endorsements + BM25 (expert, 55mo), 51 endorsements (+1 more relevant); Rephrase.ai (AI/ML). open to work, 30d notice (buyable), 77% recruiter response rate, India-based (Delhi). concern: inactive 53d."
CAND_0096142,11,0.8835,"Applied ML Engineer, 5.0y; Pinecone (expert, 62mo), 18 endorsements + Python (expert, 72mo), 29 endorsements (+1 more relevant); product co. background (upGrad). active ~29d ago, open to work, 84% recruiter response rate, India-based (Hyderabad), active GitHub (80/100). concern: 120d notice — long."
CAND_0045250,12,0.8811,"Applied ML Engineer, 6.6y; Embeddings (expert, 74mo), 16 endorsements + BM25 (expert, 87mo), 14 endorsements (+1 more relevant); Rephrase.ai (AI/ML). 15d notice (buyable), India-based (Delhi). concern: inactive 51d."
CAND_0079387,13,0.8781,"AI Engineer, 6.9y; Sentence Transformers (expert, 72mo), 45 endorsements + OpenSearch (expert, 87mo), 16 endorsements (+1 more relevant); product co. background (upGrad). open to work, 30d notice (buyable), 81% recruiter response rate, active GitHub (64/100). concern: inactive 55d; India (Trivandrum), no relocation — may not move to Pune/Noida."
CAND_0068351,14,0.8768,"Lead AI Engineer, 6.4y; Qdrant (expert, 78mo), 47 endorsements + Python (expert, 67mo), 11 endorsements (+1 more relevant); product co. background (Sarvam AI). immediate joiner, 86% recruiter response rate, India-based (Delhi). concern: inactive 69d — possibly passive."
CAND_0027691,15,0.8755,"NLP Engineer, 6.5y; Weaviate (expert, 73mo), 38 endorsements + Semantic Search (expert, 53mo), 13 endorsements (+1 more relevant); product co. background (Haptik). open to work, 15d notice (buyable), India-based (Pune). concern: inactive 80d — possibly passive."
CAND_0037566,16,0.873,"Machine Learning Engineer, 6.9y; Pinecone (expert, 74mo), 37 endorsements + Elasticsearch (expert, 74mo), 60 endorsements (+1 more relevant); LinkedIn (Internet). open to work, 15d notice (buyable), India-based (Bangalore), active GitHub (73/100). concern: inactive 60d."
CAND_0052682,17,0.869,"NLP Engineer, 6.6y; Python (expert, 81mo), 60 endorsements + Embeddings (expert, 50mo), 48 endorsements (+1 more relevant); product co. background (Aganitha). open to work, 30d notice (buyable), 88% recruiter response rate, active GitHub (72/100). concern: inactive 83d — possibly passive; India (Vizag), no relocation — may not move to Pune/Noida."
CAND_0016659,18,0.8673,"ML Engineer, 4.4y; Information Retrieval (advanced, 22mo), 43 endorsements + Weaviate (advanced, 43mo), 51 endorsements (+1 more relevant); product co. background (Glance). active ~28d ago, open to work, 89% recruiter response rate. concern: India (Coimbatore), no relocation — may not move to Pune/Noida."
CAND_0006418,19,0.8599,"Machine Learning Engineer, 5.7y; Embeddings (expert, 71mo), 43 endorsements + Semantic Search (expert, 69mo), 30 endorsements (+1 more relevant); product co. background (Verloop.io). open to work, 92% recruiter response rate, India-based (Gurgaon). concern: inactive 80d — possibly passive."
CAND_0048558,20,0.8598,"Data Scientist, 6.7y; Qdrant (advanced, 42mo), 22 endorsements + OpenSearch (advanced, 41mo), 59 endorsements (+1 more relevant); product co. background (Aganitha). active ~23d ago, open to work, 30d notice (buyable), 80% recruiter response rate, India-based (Noida)."
CAND_0091534,21,0.8569,"AI Engineer, 16.6y; RAG (expert, 73mo), 19 endorsements + Sentence Transformers (expert, 48mo), 5 endorsements (+1 more relevant); product co. background (Glance). 30d notice (buyable), 84% recruiter response rate, India-based (Gurgaon), active GitHub (66/100). concern: inactive 45d."
CAND_0046525,22,0.8555,"Senior Machine Learning Engineer, 6.1y; Sentence Transformers (expert, 74mo), 15 endorsements + Elasticsearch (advanced, 31mo), 24 endorsements (+1 more relevant); Genpact AI (AI Services). active ~27d ago, open to work, 88% recruiter response rate, India-based (Pune)."
CAND_0057563,23,0.8539,"NLP Engineer, 6.8y; RAG (expert, 68mo), 27 endorsements + Elasticsearch (expert, 61mo), 11 endorsements (+1 more relevant); product co. background (Locobuzz). 83% recruiter response rate, India-based (Indore), willing to relocate. concern: inactive 59d."
CAND_0025640,24,0.8518,"AI Research Engineer, 5.6y; FAISS (advanced, 56mo), 5 endorsements + Elasticsearch (advanced, 42mo), 21 endorsements (+1 more relevant); product co. background (Yellow.ai). open to work, 30d notice (buyable), 87% recruiter response rate. concern: inactive 47d; India (Jaipur), no relocation — may not move to Pune/Noida."
CAND_0008295,25,0.851,"AI Research Engineer, 6.5y; Python (advanced, 53mo), 53 endorsements + BM25 (advanced, 57mo), 9 endorsements (+1 more relevant); product co. background (Razorpay). active ~24d ago, open to work, 89% recruiter response rate, India-based (Pune)."
CAND_0088025,26,0.8456,"Staff Machine Learning Engineer, 8.6y; Learning to Rank (expert, 90mo), 57 endorsements + Elasticsearch (expert, 69mo), 59 endorsements (+1 more relevant); product co. background (Yellow.ai). open to work, 83% recruiter response rate, active GitHub (75/100). concern: inactive 36d; 90d notice; India (Jaipur), no relocation — may not move to Pune/Noida."
CAND_0005260,27,0.8417,"Senior NLP Engineer, 5.2y; Embeddings (expert, 95mo), 11 endorsements + Semantic Search (expert, 56mo), 49 endorsements (+1 more relevant); product co. background (Yellow.ai). 86% recruiter response rate, India-based (Chennai), willing to relocate. concern: inactive 40d."
CAND_0081852,28,0.8294,"Senior Data Scientist, 5.9y; Vector Search (expert, 61mo), 29 endorsements + Milvus (expert, 57mo), 23 endorsements (+1 more relevant); product co. background (Mad Street Den). active ~27d ago, open to work, India-based (Delhi), active GitHub (88/100)."
CAND_0050876,29,0.8286,"Applied ML Engineer, 6.0y; Sentence Transformers (expert, 70mo), 51 endorsements + Python (expert, 66mo) (+1 more relevant); product co. background (Yellow.ai). active ~24d ago, open to work, active GitHub (86/100). concern: 90d notice; India (Kolkata), no relocation — may not move to Pune/Noida."
CAND_0046459,30,0.827,"AI Research Engineer, 4.5y; BM25 (advanced, 41mo), 48 endorsements + Qdrant (advanced, 26mo), 58 endorsements (+1 more relevant); product co. background (upGrad). open to work, 30d notice (buyable), 84% recruiter response rate, India-based (Pune). concern: inactive 71d — possibly passive."
CAND_0039754,31,0.8263,"Senior Applied Scientist, 16.2y; Python (expert, 95mo), 44 endorsements + OpenSearch (expert, 71mo), 41 endorsements (+1 more relevant); product co. background (Observe.AI). open to work, 30d notice (buyable), 81% recruiter response rate, India-based (Indore), willing to relocate, active GitHub (78/100). concern: inactive 36d."
CAND_0015057,32,0.8249,"ML Engineer, 4.6y; Embeddings (advanced, 30mo), 7 endorsements + Semantic Search (advanced, 54mo) (+1 more relevant); product co. background (Meesho). active ~26d ago, open to work, 85% recruiter response rate, India-based (Pune). concern: 90d notice."
CAND_0065430,33,0.8215,"ML Engineer, 4.4y; Semantic Search (advanced, 38mo), 20 endorsements + Milvus (advanced, 29mo), 23 endorsements (+1 more relevant); product co. background (Mad Street Den). open to work, India-based (Mumbai). concern: inactive 42d."
CAND_0095619,34,0.8187,"NLP Engineer, 15.6y; Pinecone (expert, 74mo), 15 endorsements + Weaviate (expert, 60mo), 11 endorsements (+1 more relevant); product co. background (Nykaa). open to work, 30d notice (buyable), 90% recruiter response rate, India-based (Mumbai). concern: inactive 64d — possibly passive."
CAND_0046064,35,0.8185,"Senior NLP Engineer, 8.9y; Pinecone (expert, 85mo), 58 endorsements + Elasticsearch (expert, 78mo), 49 endorsements (+1 more relevant); product co. background (Verloop.io). open to work, 30d notice (buyable), 78% recruiter response rate, active GitHub (67/100). concern: inactive 54d; India (Coimbatore), no relocation — may not move to Pune/Noida."
CAND_0030784,36,0.8166,"Data Scientist, 4.4y; Sentence Transformers (advanced, 51mo), 7 endorsements + Embeddings (advanced, 53mo), 9 endorsements (+1 more relevant); product co. background (Yellow.ai). active ~26d ago, open to work, 90% recruiter response rate, India-based (Delhi). concern: 90d notice."
CAND_0080766,37,0.8163,"Staff Machine Learning Engineer, 8.8y; Python (expert, 53mo), 42 endorsements + Elasticsearch (advanced, 40mo), 38 endorsements (+1 more relevant); product co. background (Aganitha). immediate joiner, India-based (Coimbatore), willing to relocate. concern: inactive 71d — possibly passive."
CAND_0032216,38,0.8156,"ML Engineer, 6.1y; Learning to Rank (advanced, 31mo), 38 endorsements + Information Retrieval (advanced, 29mo), 44 endorsements (+1 more relevant); product co. background (upGrad). open to work, 30d notice (buyable), India-based (Chennai), willing to relocate. concern: inactive 56d."
CAND_0083852,39,0.8151,"Data Scientist, 6.0y; Sentence Transformers (advanced, 31mo), 19 endorsements + Pinecone (advanced, 59mo) (+1 more relevant); product co. background (Mad Street Den). active ~23d ago, open to work, 85% recruiter response rate, India-based (Ahmedabad), willing to relocate, active GitHub (71/100). concern: 90d notice."
CAND_0075249,40,0.8127,"Applied ML Engineer, 6.2y; Milvus (expert, 77mo), 17 endorsements + Sentence Transformers (expert, 68mo), 12 endorsements (+1 more relevant); product co. background (upGrad). open to work, 82% recruiter response rate. concern: inactive 71d — possibly passive; India (Ahmedabad), no relocation — may not move to Pune/Noida."
CAND_0076163,41,0.8118,"NLP Engineer, 6.9y; Semantic Search (expert, 82mo), 53 endorsements + Elasticsearch (expert, 39mo), 14 endorsements (+1 more relevant); Ola (Transportation). open to work, 84% recruiter response rate, active GitHub (85/100). concern: inactive 40d; India (Chandigarh), no relocation — may not move to Pune/Noida."
CAND_0060054,42,0.8113,"AI Engineer, 6.4y; Semantic Search (expert, 70mo), 19 endorsements + Elasticsearch (expert, 53mo), 17 endorsements (+1 more relevant); product co. background (Mad Street Den). 15d notice (buyable), 86% recruiter response rate, India-based (Jaipur), willing to relocate. concern: inactive 94d — likely passive/unavailable."
CAND_0098217,43,0.8113,"ML Engineer, 6.4y; Pinecone (advanced, 53mo), 21 endorsements + Learning to Rank (intermediate, 34mo), 6 endorsements (+1 more relevant); product co. background (Glance). open to work, 84% recruiter response rate, India-based (Noida), active GitHub (81/100). concern: inactive 103d — likely passive/unavailable."
CAND_0093912,44,0.8099,"Senior Data Scientist, 5.3y; Vector Search (expert, 80mo), 35 endorsements + Elasticsearch (expert, 77mo), 50 endorsements (+1 more relevant); product co. background (Razorpay). open to work, 30d notice (buyable), active GitHub (82/100). concern: inactive 39d; India (Chandigarh), no relocation — may not move to Pune/Noida."
CAND_0044222,45,0.8079,"AI Engineer, 7.7y; OpenSearch (expert, 75mo), 34 endorsements + Qdrant (advanced, 26mo), 31 endorsements (+1 more relevant); PolicyBazaar (Insurance Tech). open to work. concern: inactive 35d; India (Vizag), no relocation — may not move to Pune/Noida."
CAND_0047327,46,0.8069,"Junior ML Engineer, 5.0y; OpenSearch (advanced, 37mo), 55 endorsements + Qdrant (advanced, 30mo), 14 endorsements (+1 more relevant); product co. background (Vedantu). India-based (Gurgaon). concern: inactive 47d."
CAND_0062413,47,0.8059,"AI Research Engineer, 6.6y; BM25 (advanced, 49mo), 33 endorsements + Learning to Rank (advanced, 47mo), 54 endorsements (+1 more relevant); product co. background (upGrad). open to work, India-based (Mumbai). concern: inactive 74d — possibly passive."
CAND_0036184,48,0.8058,"Recommendation Systems Engineer, 6.0y; Sentence Transformers (expert, 94mo), 12 endorsements + Embeddings (expert, 67mo), 7 endorsements (+1 more relevant); product co. background (CRED). active ~24d ago, open to work, 30d notice (buyable), 90% recruiter response rate. concern: India (Trivandrum), no relocation — may not move to Pune/Noida."
CAND_0072660,49,0.8057,"Machine Learning Engineer, 7.1y; Information Retrieval (expert, 79mo), 52 endorsements + Python (expert, 67mo), 19 endorsements (+1 more relevant); product co. background (Glance). active ~26d ago, open to work, 30d notice (buyable). concern: outside India (Germany), no relocation — JD case-by-case."
